0,1,2,3,4,5
-2400,-7410,-1950,6920,15710,-4870
-2660,-6130,-2450,6920,15710,-5390
-2040,-6150,-2810,6920,15630,-5550
-2160,-6610,-3270,6740,16850,-5550
-2440,-6630,-3310,6700,17230,-5550
-2940,-7690,-450,6140,16490,-5550
-4280,-7710,-1550,9660,15570,-5690
-4460,-7770,-1970,9240,15210,-4250
-4470,-8210,-360,9240,15170,-5370
-4480,-8330,-480,9240,15520,-5470
-4580,-8530,-880,9200,16520,-5730
-6060,-8950,-1620,9180,15440,-1990
-6880,-6550,-1640,8480,15080,-2490
-6890,-5480,-1640,7820,14980,-2790
-7170,-6180,-1680,7360,16920,-3250
-8190,-2460,-2700,6980,16300,-3930
-8430,-2480,-2700,6980,16560,-3930
-8440,-2500,-2860,6220,16560,-2980
-8600,-3080,-2860,7940,15920,-3320
-8610,-3100,-2900,8330,15760,-3480
-8250,-3180,-3180,8330,15760,-3480
-7150,-3480,-3340,8330,15720,-4080
-7330,-3500,-3520,8190,16380,-4220
-7750,-4080,-4100,10770,15800,-4640
-7760,-4240,-3610,10550,15700,-4640
-7100,-4260,-3790,10370,15580,-4800
-2000,-5300,-5230,9630,14700,-5800
-2010,-5820,-4300,9350,14640,-5860
-2450,-5900,-4480,9070,14540,-4780
-2460,-6100,-5100,8670,15770,-4780
-2470,-6120,-5100,10180,14890,-5380
-2480,-4530,-6300,9920,14770,-5380
-3320,-5230,-6300,9920,16890,-5960
-3760,-3190,-6300,9340,16310,-6400
-2380,-3630,-6500,9340,15890,-6720
-3000,-2230,-6500,9200,15710,-7180
-3360,-2250,-6500,8480,15070,-5440
-3620,-2530,-6660,8180,14730,-4100
-3700,-2550,-3540,8100,13350,-5660
-4340,-2810,-4880,12600,12490,-7060
-3600,-2830,-5060,12380,12170,-7060
-4000,-2850,-4040,11880,12170,-7160
-4500,-3250,-4060,11620,12170,-5980
-3860,-3490,-4080,11620,11950,-6140
-4040,-2410,-4360,11560,11670,-6420
-4160,-2830,-4360,13740,10510,-6900
-4840,-3010,-4400,15200,9950,-6900
-4880,-2250,-4680,15200,9850,-7240
-4740,-2270,-4780,15200,9830,-7240
-4940,-2790,-2580,14980,9210,-7880
-5440,-3170,-2580,16640,8930,-8380
-6060,-3190,-3020,16140,8930,-6800
-6280,-3430,-3700,16140,10270,-7000
-6660,-2030,-4060,16140,9750,-7140
-6700,-2050,-4080,16080,10190,-7440
-7020,-2470,-4480,15900,10170,-6100
-7260,-1690,-4480,15560,10170,-6300
-7760,-510,-4480,15380,9870,-6500
-7770,-650,-4720,15380,10260,-6500
-7910,1330,-5300,14640,9740,-6500
-8630,490,-5300,14000,8900,-3460
-8970,1190,-5300,13700,8840,-3460
-9110,1110,-5480,13700,9300,-3520
-9930,310,-5480,16120,8680,-3700
-10170,970,-5680,15920,8680,-3720
-10890,410,-3360,15440,8440,-4040
-11330,950,-3420,15420,8440,-4060
-9430,330,-3420,14680,7900,-4060
-9530,30,-3460,14440,8680,-4160
-9730,1230,-3820,14040,8680,-4400
-9740,1210,-3820,14040,8660,-4350
-9920,1590,-3820,13960,8540,-4350
-10620,1370,-4560,13860,10300,-4350
-10630,1090,-4560,13860,10810,-4570
-11250,2390,-4580,13340,10670,-4570
-11260,1330,-2450,12740,10210,-4570
-11480,1950,-2550,12680,10030,-4630
-11800,1830,-2830,12480,9990,-3670
-11810,1470,-3210,12100,11720,-4270
